StockCode,Price
0001-0028C                    ,358.38
0001-0047C                    ,6965.172
0001-0048C                    ,221.736
0001-0054C                    ,2565.78
0001-0098C                    ,13.884
0001-0107C                    ,8.28
0001-0207C                    ,8407.128
0001-0223C                    ,124.236
0001-0335C                    ,337.32
0001-0337C                    ,372.024
0001-0344C                    ,4372.344
0001-0380C                    ,228
0001-0523C                    ,588.696
0001-0545C                    ,2678.448
0001-0577C                    ,754.356
0001-0585C                    ,111.696
0001-0598C                    ,346.128
0001-0616C                    ,349.932
0001-0618C                    ,2428.356
0001-0689C                    ,66.816
0001-0690C                    ,41.172
0001-0707C                    ,2579.508
0001-0779C                    ,56.16
0001-0821C                    ,621.24
0001-0833C                    ,4944.624
0001-0834C                    ,856.968
0001-0850C                    ,64.668
0001-0868C                    ,297.84
0001-0883C                    ,180.78
0001-0905C                    ,111.672
0001-0926C                    ,107.148
0001-0942C                    ,1865.544
0001-0944C                    ,3930.168
0001-0961C                    ,138.936
0001-0974C                    ,384.228
0001-1009C                    ,825.876
0001-1040C                    ,7103.352
0001-1045C                    ,1566.504
0001-1056C                    ,484.344
0001-1089C                    ,1511.076
0001-1093C                    ,2810.844
0001-1107C                    ,3343.44
0001-1110C                    ,2429.544
0001-1111C                    ,1764.888
0001-1123C                    ,3650.952
0001-1156C                    ,2909.7
0001-1159C                    ,2495.352
0001-1168C                    ,182.94
0001-1178C                    ,310.44
0001-1201C                    ,3442.236
0001-1214C                    ,5027.808
0001-1224C                    ,5001.768
0001-1233C                    ,375.228
0001-1251C                    ,4582.008
0001-1307C                    ,2312.472
0001-1318C                    ,264.864
0001-1344C                    ,3197.472
0001-1357C                    ,1858.272
0001-1358C                    ,3963.492
0001-1376C                    ,3934.608
0001-1381C                    ,185.592
0001-1384C                    ,821.568
0001-1388C                    ,1817.46
0001-1393C                    ,2490.264
0001-1394C                    ,5435.22
0001-1396C                    ,3047.172
0001-1398C                    ,5213.448
0001-1399C                    ,1510.62
0001-1402C                    ,1997.256
0001-1409C                    ,6679.344
0001-1410C                    ,2972.244
0001-1412C                    ,454.596
0001-1413C                    ,147.72
0001-1414C                    ,2126.964
0001-1415C                    ,5048.268
0001-1416C                    ,2483.172
0001-1418C                    ,5107.824
0001-1421C                    ,2032.704
0001-1423C                    ,2045.796
0001-1425C                    ,2566.092
0001-1427C                    ,301.716
0001-1428C                    ,2995.44
0001-1430C                    ,197.388
0001-1432C                    ,1948.776
0001-1436C                    ,635.328
0001-1437C                    ,635.328
0001-1438C                    ,13.632
0001-1439C                    ,401.268
0001-1440C                    ,56.568
0001-1441C                    ,4956.288
0001-1443C                    ,1879.584
0001-1447C                    ,6089.964
0001-1449C                    ,13.236
0001-1452C                    ,2087.184
0001-1453C                    ,4660.08
0001-1456C                    ,4919.772
0001-1457C                    ,3649.14
0001-1458C                    ,2647.044
0001-1460C                    ,1317.912
0001-1461C                    ,5821.092
0001-1464C                    ,1489.788
0001-1466C                    ,3162.78
0001-1468C                    ,2275.956
0001-1478C                    ,40.44
0001-1479C                    ,4475.568
0001-1480C                    ,2428.704
0001-1481C                    ,1911.78
0001-1486C                    ,224.028
0001-1487C                    ,201.72
0001-1490C                    ,124.26
0001-1495C                    ,1963.548
0001-1496C                    ,1949.364
0001-1498C                    ,1613.448
0001-1500C                    ,105.444
0001-1509C                    ,194.856
0001-1510C                    ,284.244
0001-1511C                    ,3748.92
0001-1512C                    ,4567.656
0001-1513C                    ,1590.756
0001-1515C                    ,2063.496
0001-1518C                    ,4346.268
0001-1519C                    ,312.912
0001-1520C                    ,323.712
0001-1526C                    ,1967.22
0001-1527C                    ,2547.84
0001-1533C                    ,2307.156
0001-1537C                    ,323.94
0001-1539C                    ,4324.284
0001-1540C                    ,773.4
0001-1541C                    ,1636.896
0001-1542C                    ,1581.552
0001-1550C                    ,2871.924
0001-1553C                    ,3084.408
0001-1557C                    ,1157.82
0001-1558C                    ,2264.592
0001-1559C                    ,1581.552
0001-1560C                    ,2787.744
0001-1562C                    ,6606.576
0001-1565C                    ,3999.528
0001-1569C                    ,5786.664
0001-1570C                    ,4990.14
0001-1571C                    ,4887.552
0001-1573C                    ,3706.752
0001-1574C                    ,407.076
0001-1575C                    ,1074.852
0001-1576C                    ,860.268
0001-1577C                    ,1061.76
0001-1578C                    ,50.832
0001-1579C                    ,1137.276
0001-1580C                    ,50.832
0001-1581C                    ,3908.472
0001-1582C                    ,1280.076
0001-1583C                    ,3844.488
0001-1584C                    ,3360.3
0001-1585C                    ,3512.208
0001-1592C                    ,2226.564
0001-1594C                    ,3012.576
0001-1595C                    ,4645.74
0001-1596C                    ,370.56
0001-1597C                    ,176.16
0001-1598C                    ,201.816
0001-1602C                    ,4570.068
0001-1603C                    ,2276.004
0001-1606C                    ,203.268
0001-1610C                    ,1727.94
0001-1614C                    ,383.844
0001-1616C                    ,1804.32
0001-1617C                    ,1607.196
0001-1622C                    ,1823.52
0001-1625C                    ,147.156
0001-1627C                    ,2280.768
0001-1629C                    ,198.072
0001-1630C                    ,5800.476
0001-1632C                    ,729.444
0001-1634C                    ,1854.996
0001-1635C                    ,2727.048
0001-1637C                    ,990.288
0001-1638C                    ,990.288
0001-1640C                    ,400.02
0001-1641C                    ,923.544
0001-1642C                    ,6572.328
0001-1643C                    ,6511.164
0001-1645C                    ,4598.304
0001-1646C                    ,81.588
0001-1647C                    ,133.26
0001-1649C                    ,270.324
0001-1654C                    ,2028.048
0001-1655C                    ,731.136
0001-1657C                    ,3698.94
0001-1659C                    ,233.316
0001-1660C                    ,3034.896
0001-1662C                    ,398.808
0001-1665C                    ,398.808
0001-1666C                    ,117.756
0001-1668C                    ,1774.656
0001-1669C                    ,5557.488
0001-1670C                    ,88.944
0001-1672C                    ,2034.96
0001-1674C                    ,5236.596
0001-1675C                    ,209.244
0001-1677C                    ,83.112
0001-1680C                    ,2137.968
0001-1681C                    ,2118.804
0001-1682C                    ,430.836
0001-1683C                    ,3270.756
0001-1689C                    ,97.044
0001-1690C                    ,2272.38
0001-1692C                    ,385.44
0001-1694C                    ,3437.388
0001-1695C                    ,242.004
0001-1697C                    ,4763.604
0001-1698C                    ,2363.424
0001-1701C                    ,3316.8
0001-1702C                    ,851.604
0001-1703C                    ,56.556
0001-1705C                    ,790.128
0001-1706C                    ,5123.688
0001-1709C                    ,180.636
0001-1710C                    ,67.2
0001-1711C                    ,4050.372
0001-1712C                    ,2999.448
0001-1713C                    ,82.884
0001-1714C                    ,82.188
0001-1715C                    ,798.996
0001-1716C                    ,57.468
0001-1717C                    ,3002.328
0001-1718C                    ,2107.764
0001-1720C                    ,2035.416
0001-1721C                    ,2253.012
0001-1725C                    ,3733.608
0001-1727C                    ,8129.112
0001-1733C                    ,387.144
0001-1734C                    ,6458.556
0001-1736C                    ,2169.168
0001-1740C                    ,2107.512
0001-1743C                    ,2597.496
0002-0079C                    ,991.26
0002-0097C                    ,756.408
0002-0184C                    ,594.048
0002-0244C                    ,1241.076
0002-0273C                    ,632.448
0002-0297C                    ,900.156
0002-0350C                    ,1234.908
0002-0506C                    ,1030.104
0002-0616C                    ,1035.672
0002-0709C                    ,649.56
0002-0768C                    ,694.44
0002-0827C                    ,716.028
0002-0898C                    ,811.38
0002-1015C                    ,718.896
0002-1090C                    ,949.452
0002-1103C                    ,3337.356
0002-1151C                    ,972.912
0002-1198C                    ,1173.06
0002-1265C                    ,1377.936
0002-1293C                    ,654.804
0002-1353C                    ,1638.216
0002-1354C                    ,1270.812
0002-1384C                    ,1779.672
0002-1463C                    ,1706.64
0002-1545C                    ,1122.12
0002-1547C                    ,653.916
0002-1605C                    ,1361.544
0002-1708C                    ,2274.084
0002-1724C                    ,1721.196
0002-1820C                    ,1439.448
0002-1865C                    ,801.288
0002-1871C                    ,735.084
0002-1926C                    ,1238.28
0002-1929C                    ,1470.768
0002-1958C                    ,754.068
0002-1992C                    ,754.884
0002-2100C                    ,1385.64
0002-2163C                    ,1865.412
0002-2209C                    ,627.696
0002-2311C                    ,1470.552
0002-2350C                    ,712.644
0002-2357C                    ,1487.424
0002-2411C                    ,808.368
0002-2426C                    ,1623.144
0002-2431C                    ,1407.072
0002-2511C                    ,1600.02
0002-2512C                    ,837.24
0002-2528C                    ,1460.208
0002-2529C                    ,1124.544
0002-2538C                    ,2298.12
0002-2539C                    ,2298.12
0002-2571C                    ,2974.104
0002-2574C                    ,1335.636
0002-2578C                    ,4555.188
0002-2589C                    ,901.776
0002-2595C                    ,1733.976
0002-2607C                    ,946.596
0002-2608C                    ,1343.16
0002-2609C                    ,1339.692
0002-2619C                    ,2202.936
0002-2627C                    ,882.852
0002-2628C                    ,2008.584
0002-2629C                    ,1374.24
0002-2632C                    ,1220.208
0002-2633C                    ,2345.664
0002-2638C                    ,714.588
0002-2654C                    ,1430.928
0002-2663C                    ,2227.692
0002-2666C                    ,1302.588
0002-2667C                    ,4180.884
0002-2668C                    ,1701.924
0002-2669C                    ,1701.924
0002-2671C                    ,1671.504
0002-2682C                    ,1553.208
0002-2683C                    ,689.556
0002-2684C                    ,743.064
0002-2687C                    ,1968.204
0002-2692C                    ,1003.776
0002-2697C                    ,165.204
0002-2698C                    ,462
0002-2699C                    ,2093.532
0002-2702C                    ,652.092
0002-2709C                    ,3466.644
0002-2712C                    ,747.168
0002-2713C                    ,655.56
0002-2716C                    ,2969.82
0002-2724C                    ,652.476
0002-2725C                    ,3095.472
0002-2729C                    ,3047.676
0002-2730C                    ,675.42
0002-2733C                    ,2412.456
0002-2738C                    ,1698.54
0002-2739C                    ,979.404
0002-2741C                    ,2504.916
0002-2752C                    ,1460.064
0002-2753C                    ,2594.76
0002-2757C                    ,1318.044
0002-2758C                    ,1822.524
0002-2759C                    ,1822.524
0002-2760C                    ,1924.2
0002-2762C                    ,1080.384
0002-2764C                    ,1068
0002-2769C                    ,1742.028
0002-2770C                    ,2361.804
0002-2771C                    ,973.692
0002-2774C                    ,3076.38
0002-2776C                    ,3078.42
0002-2781C                    ,2015.148
0002-2783C                    ,1637.328
0002-2788C                    ,3987.372
0002-2791C                    ,1654.044
0002-2792C                    ,1385.352
0002-2794C                    ,1460.064
0002-2795C                    ,2226.768
0002-2804C                    ,744.432
0002-2805C                    ,1773.408
0002-2806C                    ,2949.072
0002-2807C                    ,2949.072
0002-2810C                    ,1090.776
0002-2811C                    ,1254.612
0002-2817C                    ,864.024
0002-2820C                    ,2047.896
0002-2822C                    ,931.452
0002-2823C                    ,1818
0002-2824C                    ,827.952
0002-2825C                    ,809.34
0002-2833C                    ,3314.976
0002-2837C                    ,1854.072
0002-2838C                    ,1043.244
0002-2842C                    ,1810.68
0002-2843C                    ,725.904
0002-2847C                    ,788.352
0002-2848C                    ,788.352
0002-2853C                    ,1346.988
0002-2855C                    ,989.688
0002-2861C                    ,1640.988
0002-2862C                    ,4437.36
0002-2865C                    ,1373.82
0002-2871C                    ,1744.608
0002-2876C                    ,927.288
0002-2877C                    ,1347.144
0002-2878C                    ,141.54
0002-2881C                    ,750.42
0002-2882C                    ,885.252
0002-2883C                    ,1660.44
0002-2884C                    ,1611.036
0002-2885C                    ,1801.8
0002-2887C                    ,1225.284
0002-2891C                    ,1490.1
0002-2893C                    ,1049.556
0002-2894C                    ,907.488
0002-2896C                    ,1323.852
0002-2900C                    ,2388.84
0002-2904C                    ,1437.084
0002-2906C                    ,1549.68
0002-2907C                    ,710.232
0002-2909C                    ,1867.98
0002-2920C                    ,2069.016
0002-2923C                    ,1400.472
0002-2927C                    ,1649.82
0002-2933C                    ,2222.652
0002-2937C                    ,1419.516
0002-2940C                    ,2657.856
0002-2943C                    ,1489.332
0002-2953C                    ,852.648
0002-2955C                    ,2198.952
0002-2957C                    ,1612.416
0002-2958C                    ,1055.868
0002-2959C                    ,563.268
0002-2967C                    ,1630.128
0002-2968C                    ,1255.344
0002-2973C                    ,744.576
0002-2974C                    ,744.576
0002-2978C                    ,1315.932
0002-2979C                    ,1407.024
0002-2980C                    ,1488.984
0002-2982C                    ,2952.78
0002-2984C                    ,461.448
0002-2989C                    ,909.768
0002-2990C                    ,1765.452
0002-2993C                    ,2873.772
0002-2994C                    ,2817.912
0002-2996C                    ,993.204
0002-2998C                    ,2100.324
0002-3004C                    ,2227.68
0002-3011C                    ,636.024
0002-3013C                    ,642.564
0002-3015C                    ,894.396
0002-3017C                    ,960.684
0002-3018C                    ,3015.072
0002-3020C                    ,850.704
0002-3026C                    ,1075.332
0002-3029C                    ,1135.428
0002-3030C                    ,1135.428
0002-3031C                    ,718.716
0002-3035C                    ,1067.988
0002-3040C                    ,3065.784
0002-3042C                    ,675.528
0002-3044C                    ,2369.424
0002-3046C                    ,1666.116
0002-3051C                    ,3779.376
0002-3055C                    ,3929.58
0002-3056C                    ,1734.204
0002-3057C                    ,2258.748
0002-3058C                    ,1995.228
0002-3059C                    ,2734.02
0002-3060C                    ,2386.416
0002-3062C                    ,920.22
0002-3064C                    ,2354.352
0002-3065C                    ,1602.852
0002-3066C                    ,985.596
0002-3067C                    ,753.384
0002-3073C                    ,1022.7
0002-3076C                    ,1331.34
0002-3077C                    ,1037.676
0002-3079C                    ,1684.572
0002-3080C                    ,2791.152
0002-3082C                    ,776.28
0002-3093C                    ,3823.572
0002-3094C                    ,743.844
0002-3096C                    ,1746.396
0002-3097C                    ,1469.832
0002-3098C                    ,1168.944
0002-3101C                    ,1713.6
0002-3102C                    ,2412.564
0002-3103C                    ,684.876
0002-3104C                    ,684.876
