StockCode,Description,Level 1,Level 2,
0001-0028C                    ,"BRACKET,LIGHT FLUSH MOUNT",264.29,298.65,
0001-0047C                    ,"CABINET CR, 80"" ANDERSON UNIT",5136.56,5804.31,
0001-0048C                    ,"KIT,MTG FOR CABINET CR 14"" BO",163.52,184.78,
0001-0054C                    ,"CR,DL 68X86 2)147, 1414 W/CUST TRAY",1892.17,2138.15,
0001-0098C                    ,"PAD,RUBBER RED CR 3X30* 79-5515",10.24,11.57,
0001-0107C                    ,"KIT,BAR GALV 1/2""X2""X3-1/2""  A 32-3000",6.11,6.90,
0001-0207C                    ,"CABINET,CR ANDERSON 84"" TALL 2)128-1",6199.95,7005.94,
0001-0223C                    ,"TRAY,CHAIN 18"" DYNA-LIGHT CUSTOM FORMED LIP",91.62,103.53,
0001-0335C                    ,"COVER,WINDOW FULL VIEW PUNCHED 22X39",248.76,281.10,
0001-0337C                    ,"COVER,WINDOW FULL VIEW PUNCHED 21X57-1/2",274.35,310.02,
0001-0344C                    ,"CR,DB 68X86 MELTON TRAY W/GLAD HAND",3224.44,3643.62,
0001-0380C                    ,"TRAY,CHAIN CUSTOM 64"" FOR 317-0490C",168.14,190.00,
0001-0523C                    ,"LIGHT BAR,DP 9 HOLE 60""",434.14,490.58,
0001-0545C                    ,"ENCLOSURE,FOR 318367 HINGE INSIDE",1975.26,2232.04,
0001-0577C                    ,"ENCLOSURE,SIDE 44X14X18 DP DR",556.31,628.63,
0001-0585C                    ,"BRACKET,BEACON 12X8X8",82.37,93.08,
0001-0598C                    ,"TRAY,TARP TOP MOUNT CUSTOM 67""",255.26,288.44,
0001-0616C                    ,"LIGHT BAR,DP 3 HOLE 20-3/16""",258.06,291.61,
0001-0618C                    ,"ENCLOSURE,68X86X14 SPLIT HINGED INSIDE",1790.82,2023.63,
0001-0689C                    ,"BRACKET,BETWEEN THE FEET TWO PIECE",49.27,55.68,
0001-0690C                    ,"BRACKET,FILTER MOUNT CR",30.36,34.31,
0001-0707C                    ,"ENCLOSURE,68X70X14 & 367 REV DP DR",1902.29,2149.59,
0001-0779C                    ,"SHELF,SIDE ENC 18X14 FOR 0001-0577C",41.42,46.80,
0001-0821C                    ,"KIT,MOUNTING CABINET W/RISER",458.14,517.70,
0001-0833C                    ,"CR,DL 75X86 SF & CUST SIDE ENC 2)144 CUST LIGHT BK",3646.48,4120.52,
0001-0834C                    ,"ENCLOSURE,SIDE 44X11X22 DP SGL DR",631.98,714.14,
0001-0850C                    ,"TRAY,BASE SHORT FOOT",47.69,53.89,
0001-0868C                    ,"BRACKET,LIGHT PANEL MOUNT DL 3 LIGHT W/END CAP",219.65,248.20,
0001-0883C                    ,"BOX,CHAIN 12X14X30",133.32,150.65,
0001-0905C                    ,"BRACKET,BEACON 10X8X8",82.35,93.06,
0001-0926C                    ,"BRACKET,BEACON 6X8X8",79.02,89.29,
0001-0942C                    ,"CR,DL 68X80 & CUST 386 2)147, 144 1)142, 329-4",1375.77,1554.62,
0001-0944C                    ,"ENCLOSURE,DEEP DROP 68X86X14ID",2898.35,3275.14,
0001-0961C                    ,"BRACKET,BEACON 15X8X8",102.46,115.78,
0001-0974C                    ,"BRACKET,BEACON 5X9X52 FOUR POST",283.35,320.19,
0001-1009C                    ,"RACK,HOSE CUSTOM FEET",609.05,688.23,
0001-1040C                    ,"CR,DL 68X86X16 W/DEEP DROP ENC 367 @ 46"" SHORT DR",5238.46,5919.46,
0001-1045C                    ,"MUD RACK,DL 39X70 2)147 1)329-1",1155.24,1305.42,
0001-1056C                    ,"RACK,HOSE W/BOX MOUNT FEET",357.19,403.62,
0001-1089C                    ,"MUD RACK,DL 39X70 2)147, 333-18, 144",1114.36,1259.23,
0001-1093C                    ,"ENC,68X70X14 FOR 317367 W/LT HOLES",2072.89,2342.37,
0001-1107C                    ,"ENCLOSURE,68X80X15 ID BR BODY SS DR",2465.66,2786.20,
0001-1110C                    ,"CR,DL 75X86 & 369 @ 53-1/2""  2)144 1)329-2,331-6",1791.70,2024.62,
0001-1111C                    ,"CR,DL 75X86 & 369 @ 53-1/2""  2)144",1301.54,1470.74,
0001-1123C                    ,"ENCLOSURE,68X86X14 DEEP DROP & 367 W/LTS",2692.44,3042.46,
0001-1156C                    ,"ENCLOSURE,68X76X14 & 367 SHORT DP DR W/OVAL  LTS",2145.80,2424.75,
0001-1159C                    ,"CR,DL 68X86 2)147, 333 1)142 W/CUST OPTIONS",1840.23,2079.46,
